index Sdss_name           Plate-MJD-Fiber Wavelength  Flux   Certainty
0018  J020114.33-090959.5 666-52149-168   1900        2      Lost
0024  J020329.86-091020.3 666-52149-109   2000        3      Certain
0101  J075830.73+290008.5 859-52317-404   2050        4      Certain
0103  J075914.06+292430.4 860-52319-302   2300        2      Possible
*0132 J083220.73+043416.7 4764-55646-182  2200        8      Certain
*0144 J084549.73+175923.1 5176-56221-328  2250        7      Certain
*0155 J085723.99+090349.0 1738-53051-219  2050        20     Possible
*0169 J092408.15+544343.9 555-52266-275   2100        10     Possible
*0198 J095924.46+015954.3 3154-54821-162  1950        7      Certain
0200  J095949.39+020140.9 501-52235-313   2450        2      Certain
*0202 J100012.90+023522.8 501-52235-346   1500        5      Certain
0204  J100024.64+023149.0 501-52235-397   1800        3      Lost
*0215 J100110.18+552834.5 5743-56011-77   2500        5      Certain
*0219 J100120.69+555355.6 7084-56624-526  2200        35     Certain
0228  J100210.72+023026.2 500-51994-622   1600        3      Certain
*0245 J101330.17+531559.5 904-52381-275   2100        40     Certain
0292  J103037.66+484837.6 874-52338-152   1800        8      Lost
*0294 J103617.58+414237.1 4632-55644-238  2100        12     Certain
0326  J104733.16+052454.9 948-52438-616   2200        2      Certain
0333  J104840.08+053551.3 579-52338-340   2100        1      Possible
0334  J104840.34+055912.9 1001-52670-206  2200        2      Possible
0342  J104919.53+585850.3 949-52427-367   2200        2      Certain
0353  J105030.75+043055.0 579-52338-233   2100        2      Certain
0360  J105158.52+590652.0 949-52427-417   1800        2      Lost
0366  J105408.26+582831.0 949-52427-494   2100        2      Possible
*0381 J110211.86+284041.2 6446-56363-972  2500        8      Certain
0409  J115110.03+435004.8 1368-53084-186  2300        2      Certain
0414  J115219.57+434929.2 6642-56396-418  2200        2      Possible
0425  J115307.47+440219.2 1368-53084-125  2200        2      Certain
*0429 J115439.19+443617.0 1368-53084-538  2200        7      Partial
0440  J115940.96-012708.4 331-52368-416   1800        4      Lost
*0537 J115940.96-012708.4 1765-53466-624  2600        12     Possible
0550  J121840.53+085818.8 5396-55947-262  2300        2      Certain
*0563 J122031.73+094852.4 1230-52672-117  1600        9      Possible
0573  J122204.62+303901.6 6477-56365-212  2200        3      Certain
*0593 J122528.45+131725.4 5400-56308-354  2400        7      Certain
0620  J123116.40+120023.8 5403-55979-706  1800        10     Lost
0638  J123303.50+620915.9 7118-56686-200  2100        3      Possible
0676  J123637.45+615814.3 7118-56686-76   2400        1      Possible
0709  J124024.98+085818.1 1233-52734-2    1800        3      Lost
0712  J124039.31+084251.1 1628-53474-620  1800        6      Lost
0719  J124126.10+615804.7 781-52373-180   1800        4      Lost
*0761 J130751.16+490745.6 3239-54888-62   2100        5      Certain
0808  J132550.77+355333.6 2102-54115-242  1800        5      Lost
0842  J134542.80+461701.7 7429-56740-848  2100        2      Certain
0858  J134917.59+460311.7 1466-53083-335  2200        2      Partial
0886  J141635.41+525216.6 7340-56837-230  1800        1      Lost
0887  J141635.77+525649.3 7339-56772-233  2100        2      Certain
0891  J141648.65+530527.8 7339-56772-809  2200        1      Partial
0900  J141801.94+523514.9 7340-56837-182  2200        1      Certain
0902  J141816.24+522940.6 7339-56722-153  2300        1      Certain
0905  J141838.35+522359.3 7339-67768-150  1800        5      Lost
0906  J141841.94+523035.0 7339-56722-144  1800        1      Lost
0937  J142143.81+522308.9 7339-56722-57   2100        1      Possible
0941  J142202.80+530034.1 7339-56799-76   2100        1      Possible
*0944 J142213.22+541345.7 1325-52762-624  2350        6      Certain
0960  J142308.03+522815.5 7340-66837-29   2400        1      Certain
0963  J142323.06+525731.6 7028-56449-1000 2200        1      Partial
1005  J143617.81+353726.1 1645-53172-579  1700        3      Certain
1009  J143632.98+344253.3 1645-53172-118  2600        1      Parital
*1049 J150208.15+342846.8 1384-53121-52   2300        5      Certain
1103  J155454.81+104102.7 2523-54572-310  2100        3      Possible
*1114 J155854.88+105051.0 4879-55706-786  2500        5      Certain
*1150 J161817.59+330900.8 1684-53239-409  2200        15     Partial
1202  J164858.40+343658.2 1175-52791-588  2100        4      Certain
1209  J165007.36+343214.5 1175-52791-587  2300        2      Possible
1227  J171831.71+595309.4 352-51703-624   2500        2      Certain
1236  J172317.41+590446.5 366-52017-428   2350        4      Certain
*1263 J224304.29+134339.5 740-52263-270   2400        8      Certain

