    NAME                RA          DEC      ZQ    MAGNUV         TYPE   ZLLS
J033846.8-354717     54.69535    -35.78824  2.007  19.90   0.95    LLS1  1.46
J220026.4-303301    330.10999    -30.55054  1.769  19.52   2.60    LLS1  1.36
J033226.9-274104     53.11245    -27.68470  0.734  19.86  11.50    LLS1  0.64
J164858.4+343658    252.24340     34.61617  1.454  19.34   2.72    LLS1  1.30
J003829.9-434454      9.62464    -43.74841  1.567  19.33   2.95    LLS1  0.40
J141816.3+522941    214.56790     52.49482  1.603  21.67   0.97    LLS1  1.52
J141801.8+523515    214.50770     52.58766  1.497  21.46   1.55    LLS1  1.41
J141635.7+525650    214.14910     52.94722  1.377  20.64   2.51    LLS1  1.36 ABS 0.98
J104919.5+585850    162.33130     58.98081  1.788  20.79   1.08     LLS1  1.39
J143617.8+353726    219.07440     35.62391  1.448  19.80   8.64     LLS1  0.92
J171831.7+595311    259.63210     59.88651  1.837  21.17   0.92     LLS1  1.76
J171951.2+601321    259.96360     60.22268  1.048  19.65   5.37     LLS1  0.75
J171450.4+601409    258.71010     60.23602  1.195  20.22   4.73     LLS1  1.21
J171940.8+601715    259.92020     60.28759  1.571  20.80   0.56     LLS1  1.54
J172317.4+590445    260.82250     59.07938  1.597  20.32   0.69     LLS1  1.58
J095924.5+015954    149.85230      1.99859  1.248  19.31  12.84     LLS1  1.14 ABS 1.10
J100210.8+023026    150.54530      2.50749  1.161  19.87   6.50      LLS1  0.78
J101330.1+531559    153.37560     53.26651  1.495  17.07  15.93    LLS1  1.24
J100110.2+552834    150.29280     55.47631  2.102  19.89   0.34    LLS1  1.69
J100120.7+555352    150.33660     55.89787  1.415  17.64   2.44    LLS1  1.42
J120445.7+162517    181.19050     16.42142  1.401  19.57   2.04     LLS1  1.30
J122528.5+131725    186.36880     13.29051  1.792  19.28   1.51    LLS1  1.63
J103617.6+414236    159.07350     41.71016  1.988  18.90   3.31    LLS1  1.32
J083220.7+043417    128.08650      4.57140  1.510  19.04   2.06    LLS1  1.36 ABS 0.87
J122204.5+303902    185.51880     30.65065  1.837  19.86   1.42    LLS1  1.41 ABS 0.89
J155854.9+105053    239.72890     10.84808  1.849  19.61   0.49    LLS1  1.72
J115307.4+440219    178.28100     44.03868  1.714  20.41   1.87    LLS1  1.46
J115307.4+440219    178.28100     44.03868  1.714  20.41   1.24    LLS1  1.46
J033846.8-354717     54.69522    -35.78828  2.007  19.66   1.01    LLS1  1.48
